Name Version
libbrotlienc 1.1.0
libcblas 3.9.0
libcurl 8.4.0
libdeflate 1.19
libedit 3.1.20191231
libev 4.33
libexpat 2.5.0
libffi 3.4.2
libgcc-ng 13.2.0
libgd 2.3.3
libgfortran-ng 13.2.0
libgfortran5 13.2.0
libglib 2.78.0
libgomp 13.2.0
libiconv 1.17
libjpeg-turbo 3.0.0
liblapack 3.9.0
libnghttp2 1.52.0
libnsl 2.0.0
libopenblas 0.3.24
libpng 1.6.39
librsvg 2.56.3
libsodium 1.0.18
libsqlite 3.43.2
libssh2 1.11.0
libstdcxx-ng 13.2.0
libtiff 4.6.0
libtool 2.4.7
libuuid 2.38.1
libuv 1.46.0
libwebp 1.3.2
libwebp-base 1.3.2
libxcb 1.15
libxgboost 1.7.6
libxml2 2.11.5
libzlib 1.2.13
lightgbm 4.0.0
lz4 4.3.2
lz4-c 1.9.4
mako 1.2.4
markdown-it-py 3.0.0
markupsafe 2.1.3
matplotlib-base 3.7.3
matplotlib-inline 0.1.6
mdurl 0.1.0
mistune 3.0.1
mplhep 0.3.31
mplhep_data 0.0.3
munkres 1.1.4
nbclient 0.8.0
nbconvert-core 7.9.2
nbformat 5.9.2
ncurses 6.4
nest-asyncio 1.5.8
nodejs 20.8.1
notebook-shim 0.2.3
numpy 1.24.4
oauthlib 3.2.2
openjpeg 2.5.0
openssl 3.1.3
overrides 7.4.0
packaging 23.2
pamela 1.1.0
pandas 2.0.3
pandocfilters 1.5.0
pango 1.50.14
paramiko 3.3.1
parso 0.8.3
particle 0.22.1
patsy 0.5.3
pcre 8.45
pcre2 10.40
pexpect 4.8.0
pickleshare 0.7.5
pillow 10.0.1
pip 23.2.1
pipenv 2023.10.3
pixman 0.42.2
pkgutil-resolve-name 1.3.10
platformdirs 3.11.0
plotly 5.17.0
plotly_express 0.4.1
plumbum 1.8.2
pooch 1.7.0
prometheus_client 0.17.1
prompt-toolkit 3.0.39
prompt_toolkit 3.0.39
psutil 5.9.5
pthread-stubs 0.4
ptyprocess 0.7.0
pure_eval 0.2.2
py-xgboost 1.7.6
pycparser 2.21
pycurl 7.45.1
pygments 2.16.1
pyjsparser 2.7.1
pyjwt 2.8.0
pylhe 0.5.1
pynacl 1.5.0
pyopenssl 23.2.0
pyparsing 3.1.1
pyrsistent 0.19.3
pysocks 1.7.1
python 3.8.18
python-dateutil 2.8.2
python-fastjsonschema 2.18.1
python-graphviz 0.20.1
python-json-logger 2.0.7
python-tzdata 2023.3
python-xxhash 3.4.1
python_abi 3.8
pytz 2023.3.post1
pywin32-on-windows 0.1.0
pyyaml 6.0.1
pyzmq 25.1.1
readline 8.2
regex 2023.10.3
requests 2.31.0
resample 1.5.3
rfc3339-validator 0.1.4
rfc3986-validator 0.1.1
rich 13.6.0
ruamel.yaml 0.17.35
ruamel.yaml.clib 0.2.7
scikit-hep 5.1.1
scikit-learn 1.3.1
scipy 1.10.1
seaborn 0.13.0
seaborn-base 0.13.0
semantic_version 2.10.0
send2trash 1.8.2
setuptools 68.2.2
six 1.16.0
sniffio 1.3.0
soupsieve 2.5
sqlalchemy 2.0.22
stack_data 0.6.2
statsmodels 0.14.0
tcsh 6.24.10
tenacity 8.2.3
terminado 0.17.1
threadpoolctl 3.2.0
tinycss2 1.2.1
tk 8.6.13
tomli 2.0.1
tornado 6.3.3
tqdm 4.66.1
traitlets 5.11.2
types-python-dateutil 2.8.19.14
typing-extensions 4.8.0
typing_extensions 4.8.0
typing_utils 0.1.0
tzdata 2023c
tzlocal 5.1
uhi 0.3.3
unicodedata2 15.1.0
uproot 5.0.13
uproot-base 5.0.13
uri-template 1.3.0
urllib3 2.0.6
vector 1.0.0
virtualenv 20.24.4
virtualenv-clone 0.5.4
wcwidth 0.2.8
webcolors 1.13
webencodings 0.5.1
websocket-client 1.6.4
wheel 0.41.2
wrapt 1.15.0
xgboost 1.7.6
xorg-kbproto 1.0.7
xorg-libice 1.1.1
xorg-libsm 1.2.4
xorg-libx11 1.8.7
xorg-libxau 1.0.11
xorg-libxdmcp 1.1.3
xorg-libxext 1.3.4
xorg-libxrender 0.9.11
xorg-renderproto 0.11.1
xorg-xextproto 7.3.0
xorg-xproto 7.0.31
xxhash 0.8.2
xz 5.2.6
yaml 0.2.5
zeromq 4.3.5
zipp 3.17.0
zlib 1.2.13
zsh 5.8
zstandard 0.21.0
zstd 1.5.5
bzip2.x86_64 1.0.6-13.el7
file.x86_64 5.11-37.el7
git.x86_64 1.8.3.1-25.el7_9
which.x86_64 2.20-7.el7
micromamba 1.5.1
